season,week,network,window,map_slot,selected_image_url,selected_local_path,page_source,map_revision,sha256,width,height,legend_source,legend_status,legend_color_count,expected_color_count,unresolved_colors,legend_colors,dma_rows,ok_rows,review_rows,notes
2023,6,CBS,SINGLE,CBS_SINGLE,https://506sports.com/2023/06-CBS-V3.png,map_archive\2023\week_06\2023_w06_CBS_SINGLE_live_01.png,live,3,edb806a54785d8a771d4f631ea4a3b6582694d14527a8ec696137b50a74c05bc,1280,720,https://506sports.com/nfl.php?yr=2023&wk=6,resolved,5,5,,"{""blue"": ""Seattle @ Cincinnati"", ""green"": ""Carolina @ Miami"", ""orange"": ""Indianapolis @ Jacksonville"", ""red"": ""New England @ Las Vegas (LATE)"", ""yellow"": ""Washington @ Atlanta""}",206,206,0,
2023,6,FOX,EARLY,FOX_EARLY,https://506sports.com/2023/06-FOX-E.png,map_archive\2023\week_06\2023_w06_FOX_EARLY_live_02.png,live,0,a42c6915c783254b2d780112c47576ce06097ff2fddc431d98e70178c251e07b,1280,720,https://506sports.com/nfl.php?yr=2023&wk=6,resolved,3,3,,"{""blue"": ""Minnesota @ Chicago"", ""green"": ""New Orleans @ Houston"", ""red"": ""San Francisco @ Cleveland""}",206,206,0,
2023,6,FOX,LATE,FOX_LATE,https://506sports.com/2023/06-FOX-L-V2.png,map_archive\2023\week_06\2023_w06_FOX_LATE_live_03.png,live,2,5f07977bd969fc10f06185316558ea00be53e16945bab3ae936f0f896d2cbcbb,1280,720,https://506sports.com/nfl.php?yr=2023&wk=6,resolved,3,3,,"{""blue"": ""Detroit @ Tampa Bay"", ""green"": ""Arizona @ LA Rams"", ""red"": ""Philadelphia @ NY Jets""}",206,206,0,
2023,7,CBS,EARLY,CBS_EARLY,https://506sports.com/2023/07-CBS-E-V3.png,map_archive\2023\week_07\2023_w07_CBS_EARLY_live_01.png,live,3,5c69c09eb83ee1d92cefa3cf5eacb4ccc95bbf22c22b248d548847b62cb82876,1280,720,https://506sports.com/nfl.php?yr=2023&wk=7,resolved,3,3,,"{""blue"": ""Washington @ NY Giants"", ""green"": ""Cleveland @ Indianapolis"", ""red"": ""Buffalo @ New England""}",206,206,1,
2023,7,CBS,LATE,CBS_LATE,https://506sports.com/2023/07-CBS-L.png,map_archive\2023\week_07\2023_w07_CBS_LATE_live_02.png,live,0,ff7e45d2343e63fee47095c485028cd16f2e5675f898a6e91f3f14709325565a,1280,720,https://506sports.com/nfl.php?yr=2023&wk=7,resolved,2,2,,"{""blue"": ""Green Bay @ Denver"", ""red"": ""LA Chargers @ Kansas City""}",206,206,1,
2023,7,FOX,SINGLE,FOX_SINGLE,https://506sports.com/2023/07-FOX-V2.png,map_archive\2023\week_07\2023_w07_FOX_SINGLE_live_03.png,live,2,bbe021c7c7ae079e2501f2d49f48eaac63b1edb4c179c6044c8b4c46c461a32a,1280,720,https://506sports.com/nfl.php?yr=2023&wk=7,resolved,5,5,,"{""blue"": ""Pittsburgh @ LA Rams (LATE)"", ""green"": ""Las Vegas @ Chicago"", ""orange"": ""Arizona @ Seattle (LATE)"", ""red"": ""Detroit @ Baltimore"", ""yellow"": ""Atlanta @ Tampa Bay""}",206,206,0,
2023,8,CBS,EARLY,CBS_EARLY,https://506sports.com/2023/08-CBS-E.png,map_archive\2023\week_08\2023_w08_CBS_EARLY_live_01.png,live,0,32b9d0806538e848cbd32c0a8ef6343fe3b677e3ebed2572b486382a0e1aee3e,1280,720,https://506sports.com/nfl.php?yr=2023&wk=8,resolved,4,4,,"{""blue"": ""NY Jets @ NY Giants"", ""green"": ""New England @ Miami"", ""red"": ""Jacksonville @ Pittsburgh"", ""yellow"": ""Atlanta @ Tennessee""}",206,206,0,
2023,8,CBS,LATE,CBS_LATE,https://506sports.com/2023/08-CBS-L-V2.png,map_archive\2023\week_08\2023_w08_CBS_LATE_live_02.png,live,2,d681cf08bcc40b5e7e929b9f752fe2215b4ea07688799a92f72d37388ac47402,1280,720,https://506sports.com/nfl.php?yr=2023&wk=8,resolved,3,3,,"{""blue"": ""Kansas City @ Denver"", ""green"": ""Baltimore @ Arizona"", ""red"": ""Cincinnati @ San Francisco""}",206,206,0,
2023,8,FOX,SINGLE,FOX_SINGLE,https://506sports.com/2023/08-FOX-V4.png,map_archive\2023\week_08\2023_w08_FOX_SINGLE_live_03.png,live,4,ad3941940c79e6a6d23bd89a8d3895ce03879d11a0dd909a73a3d9e5dccef639,1280,720,https://506sports.com/nfl.php?yr=2023&wk=8,resolved,6,6,,"{""blue"": ""Cleveland @ Seattle (LATE)"", ""green"": ""Philadelphia @ Washington"", ""light_blue"": ""Houston @ Carolina"", ""orange"": ""New Orleans @ Indianapolis"", ""red"": ""LA Rams @ Dallas"", ""yellow"": ""Minnesota @ Green Bay""}",206,206,1,
2023,9,CBS,SINGLE,CBS_SINGLE,https://506sports.com/2023/09-CBS-V2.png,map_archive\2023\week_09\2023_w09_CBS_SINGLE_live_01.png,live,2,0fad085bfd7aa662579eafc61dd10eb2a0bf79ca64896104a054832b2e1ccb53,1280,720,https://506sports.com/nfl.php?yr=2023&wk=9,resolved,5,5,,"{""blue"": ""Tampa Bay @ Houston"", ""green"": ""Indianapolis @ Carolina (LATE)"", ""orange"": ""Arizona @ Cleveland"", ""red"": ""Seattle @ Baltimore"", ""yellow"": ""Chicago @ New Orleans""}",206,206,0,
2023,9,FOX,EARLY,FOX_EARLY,https://506sports.com/2023/09-FOX-E-V3.png,map_archive\2023\week_09\2023_w09_FOX_EARLY_live_02.png,live,3,d16f800746886a1d288415003425cfb51aa6f0a21b523f7475629b37c3229d28,1280,720,https://506sports.com/nfl.php?yr=2023&wk=9,resolved,3,3,,"{""blue"": ""Washington @ New England"", ""green"": ""Minnesota @ Atlanta"", ""red"": ""LA Rams @ Green Bay""}",206,206,0,
2023,9,FOX,LATE,FOX_LATE,https://506sports.com/2023/09-FOX-L-V2.png,map_archive\2023\week_09\2023_w09_FOX_LATE_live_03.png,live,2,7f42cbf989b47c918d3ceb42c1991711866203de7ba31eef935c770a10458c0a,1280,720,https://506sports.com/nfl.php?yr=2023&wk=9,resolved,2,2,,"{""blue"": ""NY Giants @ Las Vegas"", ""red"": ""Dallas @ Philadelphia""}",206,206,1,
2023,10,CBS,SINGLE,CBS_SINGLE,https://506sports.com/2023/10-CBS.png,map_archive\2023\week_10\2023_w10_CBS_SINGLE_live_01.png,live,0,0af81f56972dfa743ebd425e04311b4d07aee87aafa252e7cbb89d5c9c86ae38,1280,720,https://506sports.com/nfl.php?yr=2023&wk=10,resolved,5,5,,"{""blue"": ""Green Bay @ Pittsburgh"", ""green"": ""Houston @ Cincinnati"", ""orange"": ""Atlanta @ Arizona (LATE)"", ""red"": ""Detroit @ LA Chargers (LATE)"", ""yellow"": ""Tennessee @ Tampa Bay""}",206,206,0,
2023,10,FOX,EARLY,FOX_EARLY,https://506sports.com/2023/10-FOX-E.png,map_archive\2023\week_10\2023_w10_FOX_EARLY_live_02.png,live,0,25bb3a2dac835808d2637d44b92e90196b40b9955538e82e086b5010470f8e5a,1280,720,https://506sports.com/nfl.php?yr=2023&wk=10,resolved,3,3,,"{""blue"": ""New Orleans @ Minnesota"", ""green"": ""Cleveland @ Baltimore"", ""red"": ""San Francisco @ Jacksonville""}",206,206,1,
2023,10,FOX,LATE,FOX_LATE,https://506sports.com/2023/10-FOX-L.png,map_archive\2023\week_10\2023_w10_FOX_LATE_live_03.png,live,0,2cd1ed9ec560d1d55829fa1e360dda8ef82b10a5a57855773308b0ce03ee54bc,1280,720,https://506sports.com/nfl.php?yr=2023&wk=10,resolved,2,2,,"{""blue"": ""Washington @ Seattle"", ""red"": ""NY Giants @ Dallas""}",206,206,0,
2023,11,CBS,EARLY,CBS_EARLY,https://506sports.com/2023/11-CBS-E-V2.png,map_archive\2023\week_11\2023_w11_CBS_EARLY_live_01.png,live,2,fe4c21288584b2ab46ccbab2230985229c94ed68e210b98c137dd0d044d4836d,1280,720,https://506sports.com/nfl.php?yr=2023&wk=11,resolved,4,4,,"{""blue"": ""Las Vegas @ Miami"", ""green"": ""Tennessee @ Jacksonville"", ""red"": ""Pittsburgh @ Cleveland"", ""yellow"": ""Arizona @ Houston""}",206,206,0,
2023,11,CBS,LATE,CBS_LATE,https://506sports.com/2023/11-CBS-L-V2.png,map_archive\2023\week_11\2023_w11_CBS_LATE_live_02.png,live,2,b948e194d4688b1b0d8818352e441f2832dcbd0fdc31a54561be3306b81c2a24,1280,720,https://506sports.com/nfl.php?yr=2023&wk=11,resolved,2,2,,"{""blue"": ""Seattle @ LA Rams"", ""red"": ""NY Jets @ Buffalo""}",206,206,0,
2023,11,FOX,SINGLE,FOX_SINGLE,https://506sports.com/2023/11-FOX-V2.png,map_archive\2023\week_11\2023_w11_FOX_SINGLE_live_03.png,live,2,c368f67a103dfc3652a3a07d602c2991ab0b8c651975fe5a57c4d070d4ceb1e5,1280,720,https://506sports.com/nfl.php?yr=2023&wk=11,resolved,5,5,,"{""blue"": ""Tampa Bay @ San Francisco (LATE)"", ""green"": ""LA Chargers @ Green Bay"", ""orange"": ""NY Giants @ Washington"", ""red"": ""Dallas @ Carolina"", ""yellow"": ""Chicago @ Detroit""}",206,206,0,
